SERIALNO,AGE,WRKLYR,INCTOT
0000201,51,1,56839
0000201,19,2,0
0000202,74,2,51214
0000202,72,2,6438
0000203,39,1,39440
0000203,4,0,NA
0000203,33,2,0
0000204,33,2,12760
0000204,1,0,NA
0000205,32,2,1739
0000206,28,1,17400
0000206,27,1,17400
0000206,25,1,17400
0000206,54,1,11600
0000207,54,1,85260
0000207,51,1,45240
0000208,60,2,4640
0000209,37,1,41760
0000209,34,0,NA
0000209,3,0,NA
0000209,1,0,NA
0000210,26,1,6959
0000210,26,2,8932
0000211,80,1,21228
0000211,75,2,4408
0000212,78,2,41180
0000212,78,2,4234
0000213,43,2,12145
0000214,55,1,69600
0000215,49,1,60899
0000215,40,1,49300
0000215,19,2,0
0000216,34,2,0
0000216,33,1,20126
0000216,2,0,NA
0000216,14,0,NA
0000217,52,1,20880
0000217,52,1,16704
0000217,29,2,5568
0000217,78,2,4001
0000218,68,1,8700
0000219,41,1,20880
0000220,65,2,60319
0000220,62,2,6959
0000221,37,1,4640
0000221,38,1,9280
0000221,37,1,6959
0000222,56,1,26100
0000222,55,2,0
0000222,29,2,0
0000223,70,0,NA
0000223,65,0,NA
0000224,64,1,44660
0000224,60,1,22840
0000224,63,2,2436
0000224,55,1,23432
0000225,44,1,55099
0000225,40,2,0
0000225,12,0,NA
0000226,64,2,0
0000227,54,1,9860
0000227,53,1,37120
0000227,17,2,0
0000227,15,0,NA
0000228,60,2,0
0000228,69,2,71340
0000229,29,2,0
0000229,32,1,14499
0000229,6,0,NA
0000229,0,0,NA
0000230,26,1,13919
0000231,78,2,32828
0000231,20,2,0
0000232,61,1,32479
0000232,66,2,10440
0000233,55,1,6959
0000234,72,2,20648
0000234,72,2,1450
0000235,43,1,26100
0000235,45,1,46400
0000235,9,0,NA
0000235,3,0,NA
0000235,84,2,4930
0000236,47,1,40600
0000236,44,1,10440
0000236,24,1,11600
0000236,19,1,5220
0000236,18,2,0
0000237,64,2,4408
0000238,52,1,46400
0000238,54,2,9454
0000239,35,2,754
0000239,32,2,0
0000239,11,0,NA
0000239,5,0,NA
0000240,33,1,41760
0000240,35,1,2900
0000240,12,0,NA
0000240,9,0,NA
0000240,17,2,0
0000241,34,1,69774
0000241,29,1,40600
0000242,56,1,13050
0000242,46,1,16239
0000243,56,1,22620
0000244,61,2,4698
0000244,62,2,5916
0000245,60,2,10440
0000245,61,2,3479
0000246,82,0,NA
0000247,26,1,9744
0000247,26,2,5568
0000247,2,0,NA
0000248,34,2,5695
0000248,32,1,4350
0000249,60,1,41562
0000249,41,2,34
0000249,17,2,0
0000250,30,1,57999
0000251,71,2,32073
0000251,69,2,8990
0000252,63,2,6785
0000252,61,0,NA
0000252,50,0,NA
0000253,53,2,29579
0000253,62,2,5742
0000254,39,1,69600
0000255,37,1,31899
0000255,40,2,28999
0000255,10,0,NA
