Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
530330007004,2018,2,0.5,0.5,0,0,0,0.0
530330008001,2018,2,0.5,0.5,0,0,0,0.0
530330008002,2018,2,0.5,0.5,0,0,0,0.0
530330009001,2018,2,0.5,0.5,0,0,0,0.0
530330009002,2018,2,0.5,0.5,0,0,0,0.0
530330010001,2018,2,0.5,0.5,0,0,0,0.0
530330010002,2018,2,0.5,0.5,0,0,0,0.0
530330011001,2018,2,0.5,0.5,0,0,0,0.0
530330011002,2018,2,0.5,0.5,0,0,0,0.0
530330012011,2018,2,0.5,0.5,0,0,0,0.0
530330012012,2018,2,0.5,0.5,0,0,0,0.0
530330012013,2018,2,0.5,0.5,0,0,0,0.0
530330012021,2018,2,0.5,0.5,0,0,0,0.0
530330012022,2018,2,0.5,0.5,0,0,0,0.0
530330012023,2018,2,0.5,0.5,0,0,0,0.0
530330013001,2018,2,0.5,0.5,0,0,0,0.0
530330013002,2018,2,0.5,0.5,0,0,0,0.0
530330013003,2018,2,0.5,0.5,0,0,0,0.0
530330014001,2018,2,0.5,0.5,0,0,0,0.0
530330014002,2018,2,0.5,0.5,0,0,0,0.0
530330014003,2018,2,0.5,0.5,0,0,0,0.0
530330014004,2018,2,0.5,0.5,0,0,0,0.0
530330015001,2018,2,0.5,0.5,0,0,0,0.0
530330015002,2018,2,0.5,0.5,0,0,0,0.0
530330016001,2018,2,0.5,0.5,0,0,0,0.0
530330016002,2018,2,0.5,0.5,0,0,0,0.0
530330016003,2018,2,0.5,0.5,0,0,0,0.0
530330017011,2018,2,0.5,0.5,0,0,0,0.0
530330017012,2018,2,0.5,0.5,0,0,0,0.0
530330017013,2018,2,0.5,0.5,0,0,0,0.0
530330017021,2018,2,0.5,0.5,0,0,0,0.0
530330017022,2018,2,0.5,0.5,0,0,0,0.0
530330017023,2018,2,0.5,0.5,0,0,0,0.0
530330017024,2018,2,0.5,0.5,0,0,0,0.0
530330018001,2018,2,0.5,0.5,0,0,0,0.0
530330018002,2018,2,0.5,0.5,0,0,0,0.0
530330018003,2018,2,0.5,0.5,0,0,0,0.0
530330019001,2018,2,0.5,0.5,0,0,0,0.0
530330019002,2018,2,0.5,0.5,0,0,0,0.0
530330019003,2018,2,0.5,0.5,0,0,0,0.0
530330019004,2018,2,0.5,0.5,0,0,0,0.0
530330020001,2018,2,0.5,0.5,0,0,0,0.0
530330020002,2018,2,0.5,0.5,0,0,0,0.0
530330020003,2018,2,0.5,0.5,0,0,0,0.0
530330021001,2018,2,0.5,0.5,0,0,0,0.0
530330021002,2018,2,0.5,0.5,0,0,0,0.0
