Geo,RetEmp,SvcEmp,TotEmp,Year
530330068003,323,121,965.0,2018
530330069001,20,63,429.0,2018
530330069002,23,60,489.0,2018
530330069003,32,24,169.0,2018
530330070011,7,22,163.0,2018
530330070012,3,15,77.0,2018
530330070013,9,67,916.0,2018
530330070021,7,15,115.0,2018
530330070022,0,5,11.0,2018
530330070023,325,145,828.0,2018
530330071011,92,796,2375.0,2018
530330071012,104,1176,3625.0,2018
530330071021,41,212,4428.0,2018
530330071022,28,168,1988.0,2018
530330072011,1,15,1425.0,2018
530330072012,11,55,2045.0,2018
530330072013,0,0,101.0,2018
530330072021,59,351,2482.0,2018
530330072022,80,638,2591.0,2018
530330072023,47,322,2620.0,2018
530330072031,153,1074,6445.0,2018
530330072032,114,1003,4316.0,2018
530330073011,226,85,2808.0,2018
530330073012,83,22,675.0,2018
530330073013,170,20,1155.0,2018
530330073021,1870,272,10561.0,2018
530330073022,721,289,8652.0,2018
530330073023,935,161,5777.0,2018
530330073031,3607,289,21347.0,2018
530330073032,1254,145,7635.0,2018
530330073033,1863,177,10754.0,2018
530330074031,157,42,294.0,2018
530330074032,141,68,389.0,2018
530330074041,13,31,194.0,2018
530330074042,0,0,0.0,2018
530330074051,43,48,300.0,2018
530330074052,24,45,187.0,2018
530330074061,42,31,249.0,2018
530330074062,11,17,94.0,2018
530330075011,36,30,369.0,2018
530330075012,32,21,267.0,2018
530330075013,320,39,661.0,2018
530330075021,25,31,318.0,2018
530330075022,29,37,359.0,2018
530330075023,72,77,791.0,2018
530330075031,283,351,2696.0,2018
530330075032,70,87,801.0,2018
530330076001,18,25,554.0,2018
530330076002,1,40,308.0,2018
530330076003,131,67,733.0,2018
530330077001,69,26,256.0,2018
530330077002,23,35,333.0,2018
530330077003,110,11,180.0,2018
530330077004,6,88,195.0,2018
530330078001,94,60,544.0,2018
530330078002,6,46,1614.0,2018
530330078003,13,90,602.0,2018
530330078004,15,31,594.0,2018
530330079011,293,66,853.0,2018
530330079012,103,22,328.0,2018
530330079021,21,44,523.0,2018
530330079022,107,55,375.0,2018
530330079023,88,53,288.0,2018
530330080021,175,253,2258.0,2018
530330080022,137,257,2659.0,2018
530330080023,174,362,3533.0,2018
530330080031,39,90,1103.0,2018
530330080032,365,275,2996.0,2018
530330080033,692,299,2471.0,2018
530330080041,34,111,708.0,2018
530330080042,140,70,764.0,2018
530330080043,899,213,3125.0,2018
530330081011,437,108,2619.0,2018
530330081012,880,246,6731.0,2018
530330081013,83,413,5097.0,2018
530330081021,1958,2757,33234.0,2018
530330081022,996,2357,30229.0,2018
530330082001,5533,3602,28631.0,2018
530330082002,41,64,584.0,2018
530330082003,12,28,938.0,2018
530330083001,98,193,5561.0,2018
530330083002,32,309,898.0,2018
530330084011,347,82,1789.0,2018
530330084012,2,10,1473.0,2018
530330084013,29,71,9409.0,2018
530330084021,270,93,1036.0,2018
530330084022,34,58,513.0,2018
530330084023,172,58,542.0,2018
530330085001,267,215,12102.0,2018
530330085002,155,77,239.0,2018
530330085003,1,3,6597.0,2018
530330086001,10,33,660.0,2018
530330086002,8,64,619.0,2018
530330086003,108,51,2539.0,2018
530330086004,66,18,1101.0,2018
530330087001,42,28,3672.0,2018
530330087002,2,10,224.0,2018
530330087003,11,45,208.0,2018
530330088001,71,30,237.0,2018
530330088002,10,31,468.0,2018
530330088003,1,16,55.0,2018
530330089001,0,19,249.0,2018
530330089002,4,29,121.0,2018
530330089003,67,60,1409.0,2018
530330089004,9,14,166.0,2018
530330090001,1554,229,3838.0,2018
530330090002,118,25,424.0,2018
530330090003,6,18,822.0,2018
530330091001,88,104,1292.0,2018
530330091002,156,83,1565.0,2018
530330092001,27,41,1610.0,2018
530330092002,404,535,6718.0,2018
530330093001,0,39,2771.0,2018
530330093002,1869,3425,23245.0,2018
530330093003,2914,1128,24464.0,2018
530330094001,471,12,654.0,2018
530330094002,189,56,1050.0,2018
530330094003,39,28,211.0,2018
530330094004,356,57,1331.0,2018
530330094005,3777,39,4586.0,2018
530330095001,4,38,225.0,2018
530330095002,20,105,1038.0,2018
530330095003,8,101,308.0,2018
530330095004,315,55,755.0,2018
530330096001,83,52,440.0,2018
530330096002,4,21,354.0,2018
530330096003,40,18,189.0,2018
530330096004,11,11,206.0,2018
530330097011,11,28,178.0,2018
530330097012,3,23,104.0,2018
530330097013,16,26,428.0,2018
530330097014,0,2,5.0,2018
530330097021,2,9,142.0,2018
530330097022,2,5,116.0,2018
530330097023,0,6,21.0,2018
530330097024,0,0,0.0,2018
530330098011,245,146,881.0,2018
530330098012,0,0,0.0,2018
530330098013,36,66,387.0,2018
530330098021,24,8,205.0,2018
530330098022,44,92,1773.0,2018
530330098023,19,40,577.0,2018
530330099001,15,29,245.0,2018
530330099002,7,50,169.0,2018
530330099003,13,47,620.0,2018
530330099004,114,196,4434.0,2018
530330100011,307,49,779.0,2018
530330100012,66,79,2994.0,2018
530330100013,3,5,466.0,2018
530330100021,5,10,123.0,2018
530330100022,20,72,390.0,2018
530330100023,17,72,295.0,2018
530330101011,16,34,158.0,2018
530330101012,12,21,113.0,2018
530330101013,98,109,638.0,2018
530330101021,1,20,183.0,2018
530330101022,295,24,616.0,2018
530330101023,53,8,85.0,2018
530330102001,7,35,177.0,2018
530330102002,3,21,52.0,2018
530330102003,9,10,89.0,2018
530330102004,2,12,46.0,2018
530330103011,9,43,454.0,2018
530330103012,17,35,268.0,2018
530330103013,127,30,604.0,2018
530330103021,116,35,501.0,2018
530330103022,82,44,513.0,2018
530330103023,45,57,1090.0,2018
530330104011,14,15,64.0,2018
530330104012,2,17,120.0,2018
530330104013,2,4,154.0,2018
530330104021,7,7,475.0,2018
530330104022,23,10,81.0,2018
530330104023,9,5,44.0,2018
530330104024,2,3,29.0,2018
530330105011,85,52,365.0,2018
530330105012,0,5,130.0,2018
530330105013,124,367,1408.0,2018
530330105021,211,60,725.0,2018
530330105022,89,17,480.0,2018
530330105023,186,91,726.0,2018
530330105024,415,220,1195.0,2018
530330106011,3,16,89.0,2018
530330106012,20,42,271.0,2018
530330106013,7,27,173.0,2018
530330106021,80,31,356.0,2018
530330106022,0,0,0.0,2018
530330106023,12,12,142.0,2018
530330107011,185,9,434.0,2018
530330107012,7,12,94.0,2018
530330107013,20,13,193.0,2018
530330107021,0,0,0.0,2018
530330107022,0,10,106.0,2018
530330107023,0,7,199.0,2018
530330108001,19,29,1429.0,2018
530330108002,10,7,418.0,2018
530330108003,4,31,144.0,2018
530330109001,106,82,5852.0,2018
530330109002,1405,474,13006.0,2018
530330110011,7,12,146.0,2018
530330110012,195,17,512.0,2018
530330110013,5,5,83.0,2018
530330110021,5,35,503.0,2018
530330110022,1,6,36.0,2018
530330110023,1,22,151.0,2018
530330111011,0,0,1.0,2018
530330111012,0,0,0.0,2018
530330111013,0,0,0.0,2018
530330111014,0,0,0.0,2018
530330111021,2,25,589.0,2018
530330111022,38,21,163.0,2018
530330111023,6,3,37.0,2018
530330111024,16,21,82.0,2018
530330112001,80,16,2621.0,2018
530330112002,41,51,2878.0,2018
530330112003,31,10,1672.0,2018
530330113001,13,10,1707.0,2018
530330113002,90,7,179.0,2018
530330113003,6,26,80.0,2018
530330113004,9,16,214.0,2018
530330113005,3,15,51.0,2018
530330114011,0,0,150.0,2018
530330114012,0,0,174.0,2018
530330114013,0,0,0.0,2018
530330114021,900,114,1488.0,2018
530330114022,25,40,218.0,2018
530330114023,13,32,204.0,2018
530330115001,1,5,95.0,2018
530330115002,8,6,59.0,2018
530330115003,1,9,52.0,2018
530330116011,0,0,0.0,2018
530330116012,9,39,315.0,2018
530330116021,0,0,0.0,2018
530330116022,0,0,0.0,2018
530330116023,5,27,241.0,2018
530330117001,6,14,70.0,2018
